Matrix Size,Version,Execution Time (ms),Memory Used (MB),CPU Usage (%),Nodes Used,Transfer Time (ms)
256,basic,33,1.18,32.14,1,0
256,parallel,67,1.92,60.00,1,0
256,basic,42,1.54,22.58,1,0
256,parallel,61,1.60,39.68,1,0
256,distributed,8680,281.38,65.12,1,106
256,distributed,3168,102.03,73.23,3,109
512,basic,933,291.05,64.57,1,0
512,parallel,104,2.36,72.97,1,0
512,basic,632,18.08,55.21,1,0
512,parallel,187,7.27,90.00,1,0
512,distributed,9038,500.91,74.67,3,59
512,distributed,9356,88.60,74.00,3,225
1024,basic,4296,86.06,28.75,1,0
1024,basic,5792,14.63,99.82,1,0
1024,parallel,3201,10.60,99.87,1,0
1024,parallel,3360,1235.21,93.47,1,0
1024,distributed,25588,1004.45,71.38,4,337
1024,distributed,36532,612.10,64.26,4,460
2048,basic,110016,518.09,25.96,1,0
2048,parallel,44109,50.00,86.29,1,0
2048,basic,158792,2184.08,88.04,1,0
2048,parallel,45061,35.17,99.91,1,0
2048,distributed,168066,1327.35,89.37,4,477
